Variable,2020,2021,2022,2023,2024
Diluted Shares Outstanding,697258296,720125043,740942399,755419936,766646508
Dividends per Share,1.91,3.57,4.94,3.32,3.45
Cash and Cash Equivalents,1999484000,2119738000,4252003000,2955866000,1972140000
Debt (USD),5721461000,7806143000,12439528000,, 
EBIT,2622361000,13100531000,3544648000,3041711000,6410642000
Revenue,6101927000,22577148000,8517673000,8022841000,13229968000
EBIT Margin (%),0.429759484,0.58025624,0.416152158,0.379131407,0.484554611
Tax Rate (%),13.60,8.73,13.66,17.36,15.82
CBOE Interest Rate 10 Year T No (^TNX) (adj close) jan = Risk-Free Rate (%),1.502,1.093,1.782,3.529,3.967
Real Risk Premium (TENEXPCHAREARISPRE),1.108,1.166,1.345,1.358,1.321
Beta (Leveraged),,1.54
Payout Ratio (%),63.37,127.33,43.91,209.32,180.43
Total Equity,14590509000,21706046000,19681067000,18075214000,19495015000
Federal Funds Effective Rate (FEDFUNDS),0.38,0.08,1.68,5.02,5.14
Enterprise Value (EV),55940000000,107220000000,73710000000,119970000000,152890000000
Net debt = EV - equity,41349491000,85513954000,54028933000,101894786000,133394985000
PEG Ratio,17.40,0.42,2.30,41.44,12.54
Price/Earnings,56.85,17.77,21.02,54.78,59.25
vector<vector<string>> data = readCSV("input_data.csv.txt");
